,title,Release date,Running time,Country,Language,Box office,Production company,Running time (mins),Release date(datetime),Budget(float),Box office(float),Rotten Tomatoes,IMDB rating,Metascore,Directed by,Written by,Based on,Produced by,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified,Music,Lyrics,Book,Basis,Productions,Awards
0,Academy Award Review of,"['May 19, 1937']",41 minutes (74 minutes 1966 release),United States,English,$45.472,Walt Disney Productions,41.0,1937-05-19,,45.472,,7.0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Snow White and the Seven Dwarfs,"['December 21, 1937 ( Carthay Circle Theatre )']",83 minutes,United States,English,$418 million,Walt Disney Productions,83.0,1937-12-21,1490000.0,418000000.0,,7.6,95,"['David Hand', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']","['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'by The', 'Brothers Grimm']",Walt Disney,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,$1.49 million,,,,,,,,,,,,,,,,,,,,
2,Pinocchio,"['February 7, 1940 ( Center Theatre )', 'February 23, 1940 (United States)']",88 minutes,United States,English,$164 million,Walt Disney Productions,88.0,1940-02-07,2600000.0,164000000.0,100%,7.4,99,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",,"['The Adventures of Pinocchio', 'by', 'Carlo Collodi']",Walt Disney,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,$2.6 million,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,,,,,,,,,,,,,,,
3,Fantasia,"['November 13, 1940']",126 minutes,United States,English,$76.4–$83.3 million (United States and Canada),Walt Disney Productions,126.0,1940-11-13,2280000.0,83300000.0,95%,7.7,96,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']",,,"['Walt Disney', 'Ben Sharpsteen']","['Leopold Stokowski', 'Deems Taylor']",See program,RKO Radio Pictures,$2.28 million,"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,,,,,,,,,,,,,,,,,
4,The Reluctant Dragon,"['June 27, 1941']",74 minutes,United States,English,"$960,000 (worldwide rentals)",Walt Disney Productions,74.0,1941-06-27,600000.0,960000.0,,6.9,N/A,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']","['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",,Walt Disney,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",RKO Radio Pictures,"$600,000",,,Bert Glennon,Paul Weatherwax,,,,,,,,,,,,,,,,
5,Dumbo,"['October 23, 1941 (New York City)', 'October 31, 1941 (U.S.)']",64 minutes,United States,English,">$1.3 million (est. United States/Canada rentals, 1941)",Walt Disney Productions,64.0,1941-10-23,950000.0,1300000.0,98%,7.2,96,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",,"['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']",Walt Disney,"['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Margaret Wright', 'Hall Johnson Choir']","['Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,"$950,000","['Otto Englander', 'Joe Grant', 'Dick Huemer']",John McLeish,,,,,,,,,,,,,,,,,,
6,Bambi,"['August 9, 1942 (World Premiere – London)', 'August 13, 1942 (Premiere – New York City)', 'August 21, 1942 (U.S.)']",70 minutes,United States,English,$267.4 million,Walt Disney Productions,70.0,1942-08-09,858000.0,267399999.99999997,90%,7.3,91,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",,"['Bambi, a Life in the Woods', 'by', 'Felix Salten']",Walt Disney,see below,"['Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,"$858,000","['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",,,,,,,,,,,,,,,,,,,
7,Saludos Amigos,"['August 24, 1942 (World Premiere – Rio de Janeiro)', 'February 6, 1943 (U.S. Premiere – Boston)', 'February 19, 1943 (U.S.)']",42 minutes,United States,,$1.135 million (worldwide rentals),Walt Disney Productions,42.0,1942-08-24,,1135000.0,79%,6.1,60,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",,,Walt Disney,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,"['English', 'Portuguese', 'Spanish']",,,,,,,,,,,,,,,
8,Victory Through Air Power,"['July 17, 1943']",70 min,United States,English,"$799,000",Walt Disney Productions,70.0,1943-07-17,788000.0,799000.0,,6.6,N/A,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']","['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Victory Through Air Power by Maj. Alexander P. Seversky,Walt Disney,Alexander de Seversky,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",United Artists,"$788,000",,Art Baker,Ray Rennahan,Jack Dennis,,,,,,,,,,,,,,,,
9,The Three Caballeros,"['December 21, 1944 (Mexico City)', 'February 3, 1945 (US)']",71 minutes,United States,,$3.355 million (worldwide rentals),Walt Disney Productions,71.0,1944-12-21,,3355000.0,82%,6.4,85,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young']",,,Walt Disney,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,"['English', 'Spanish', 'Portuguese']",,,,,,,,,,,,,,,
